id,env,createdAt,userName,action,entityName,entityId,propertyName,oldValue,newValue,status
1,dev,"10/09/2018 15:09:38",admin,create,"Builder\FormBundle\Entity\F_FieldType",1,,,,done
2,dev,"10/09/2018 15:09:38",admin,create,"Builder\FormBundle\Entity\F_FieldType",1,name,,Text,done
3,dev,"10/09/2018 15:09:38",admin,create,"Builder\FormBundle\Entity\F_FieldType",1,baseType,,string,done
4,dev,"10/09/2018 15:09:38",admin,create,"Builder\FormBundle\Entity\F_FieldType",1,component,,text,done
5,dev,"10/09/2018 15:09:16",admin,create,"Builder\FormBundle\Entity\F_FieldType",2,,,,done
6,dev,"10/09/2018 15:09:16",admin,create,"Builder\FormBundle\Entity\F_FieldType",2,name,,Boolean,done
7,dev,"10/09/2018 15:09:16",admin,create,"Builder\FormBundle\Entity\F_FieldType",2,baseType,,boolean,done
8,dev,"10/09/2018 15:09:16",admin,create,"Builder\FormBundle\Entity\F_FieldType",2,component,,boolean,done
9,dev,"10/09/2018 15:09:18",admin,create,"Builder\FormBundle\Entity\F_FieldType",3,,,,done
10,dev,"10/09/2018 15:09:18",admin,create,"Builder\FormBundle\Entity\F_FieldType",3,name,,Email,done
11,dev,"10/09/2018 15:09:18",admin,create,"Builder\FormBundle\Entity\F_FieldType",3,baseType,,string,done
12,dev,"10/09/2018 15:09:18",admin,create,"Builder\FormBundle\Entity\F_FieldType",3,component,,email,done
13,dev,"10/09/2018 15:09:47",admin,create,"Builder\FormBundle\Entity\F_FieldType",4,,,,done
14,dev,"10/09/2018 15:09:47",admin,create,"Builder\FormBundle\Entity\F_FieldType",4,name,,Year,done
15,dev,"10/09/2018 15:09:47",admin,create,"Builder\FormBundle\Entity\F_FieldType",4,baseType,,integer,done
16,dev,"10/09/2018 15:09:47",admin,create,"Builder\FormBundle\Entity\F_FieldType",4,component,,year,done
17,dev,"10/09/2018 15:09:18",admin,create,"Builder\FormBundle\Entity\F_FieldType",5,,,,done
18,dev,"10/09/2018 15:09:18",admin,create,"Builder\FormBundle\Entity\F_FieldType",5,name,,Textarea,done
19,dev,"10/09/2018 15:09:18",admin,create,"Builder\FormBundle\Entity\F_FieldType",5,baseType,,string,done
