id,env,createdAt,userName,action,entityName,entityId,propertyName,oldValue,newValue,status
73,dev,"10/09/2018 15:09:04",admin,create,"Builder\PageBundle\Entity\Content",1,,,,done
74,dev,"10/09/2018 15:09:04",admin,create,"Builder\PageBundle\Entity\Content",1,title,,default_header,done
75,dev,"10/09/2018 15:09:04",admin,create,"Builder\PageBundle\Entity\Content",1,content,,<p>default_header</p>,done
76,dev,"10/09/2018 15:09:04",admin,create,"Builder\PageBundle\Entity\Content",1,type,,Content,done
77,dev,"10/09/2018 15:09:04",admin,create,"Builder\PageBundle\Entity\Content",1,locked,,1,done
78,dev,"10/09/2018 15:09:04",admin,update,"Builder\PageBundle\Entity\Content",1,rights,,Group:1,done
79,dev,"10/09/2018 15:09:25",admin,create,"Builder\PageBundle\Entity\Content",2,,,,done
80,dev,"10/09/2018 15:09:25",admin,create,"Builder\PageBundle\Entity\Content",2,title,,default_MenuPrincipal,done
81,dev,"10/09/2018 15:09:25",admin,create,"Builder\PageBundle\Entity\Content",2,content,,<p>Principal</p>,done
82,dev,"10/09/2018 15:09:25",admin,create,"Builder\PageBundle\Entity\Content",2,type,,Content,done
83,dev,"10/09/2018 15:09:25",admin,create,"Builder\PageBundle\Entity\Content",2,locked,,1,done
84,dev,"10/09/2018 15:09:25",admin,update,"Builder\PageBundle\Entity\Content",2,rights,,Group:1,done
85,dev,"10/09/2018 15:09:02",admin,create,"Builder\PageBundle\Entity\Content",3,,,,done
86,dev,"10/09/2018 15:09:02",admin,create,"Builder\PageBundle\Entity\Content",3,title,,default_footer,done
87,dev,"10/09/2018 15:09:02",admin,create,"Builder\PageBundle\Entity\Content",3,content,,"<p><a href=""https://funga.fr/"">Propuls&eacute; par Funga</a></p>",done
88,dev,"10/09/2018 15:09:02",admin,create,"Builder\PageBundle\Entity\Content",3,type,,Content,done
89,dev,"10/09/2018 15:09:02",admin,create,"Builder\PageBundle\Entity\Content",3,locked,,1,done
90,dev,"10/09/2018 15:09:02",admin,update,"Builder\PageBundle\Entity\Content",3,rights,,Group:1,done
91,dev,"10/09/2018 15:09:06",admin,create,"Builder\PageBundle\Entity\Page",1,,,,done
92,dev,"10/09/2018 15:09:06",admin,create,"Builder\PageBundle\Entity\Page",1,name,,"Default Contents",done
93,dev,"10/09/2018 15:09:06",admin,create,"Builder\PageBundle\Entity\Page",1,slug,,default,done
94,dev,"10/09/2018 15:09:06",admin,create,"Builder\PageBundle\Entity\Page",1,locked,,1,done
95,dev,"10/09/2018 15:09:06",admin,create,"Builder\PageBundle\Entity\Page_Content",1,,,,done
96,dev,"10/09/2018 15:09:06",admin,create,"Builder\PageBundle\Entity\Page_Content",1,position,,Header,done
97,dev,"10/09/2018 15:09:06",admin,create,"Builder\PageBundle\Entity\Page_Content",1,page,,Page:1,done
